19995,Sam Worthington,Jake Sully
19995,Zoe Saldana,Neytiri
19995,Sigourney Weaver,Dr. Grace Augustine
19995,Stephen Lang,Col. Quaritch
19995,Michelle Rodriguez,Trudy Chacon
285,Johnny Depp,Captain Jack Sparrow
285,Orlando Bloom,Will Turner
285,Keira Knightley,Elizabeth Swann
285,Stellan Skarsgård,"William ""Bootstrap Bill"" Turner"
285,Chow Yun-fat,Captain Sao Feng
206647,Daniel Craig,James Bond
206647,Christoph Waltz,Blofeld
206647,Léa Seydoux,Madeleine
206647,Ralph Fiennes,M
206647,Monica Bellucci,Lucia
49026,Christian Bale,Bruce Wayne / Batman
49026,Michael Caine,Alfred Pennyworth
49026,Gary Oldman,James Gordon
49026,Anne Hathaway,Selina Kyle / Catwoman
49026,Tom Hardy,Bane
49529,Taylor Kitsch,John Carter
49529,Lynn Collins,Dejah Thoris
49529,Samantha Morton,Sola
49529,Willem Dafoe,Tars Tarkas
49529,Thomas Haden Church,Tal Hajus
559,Tobey Maguire,Peter Parker / Spider-Man
559,Kirsten Dunst,Mary Jane Watson
559,James Franco,Harry Osborn / New Goblin
559,Thomas Haden Church,Flint Marko / Sandman
559,Topher Grace,Eddie Brock / Venom
38757,Zachary Levi,Flynn Rider (voice)
38757,Mandy Moore,Rapunzel (voice)
38757,Donna Murphy,Mother Gothel (voice)
38757,Ron Perlman,Stabbington Brother (voice)
38757,M.C. Gainey,Captain of the Guard (voice)
99861,Robert Downey Jr.,Tony Stark / Iron Man
99861,Chris Hemsworth,Thor Odinson
99861,Mark Ruffalo,Bruce Banner / Hulk
99861,Chris Evans,Steve Rogers / Captain America
99861,Scarlett Johansson,Natasha Romanoff / Black Widow
767,Daniel Radcliffe,Harry Potter
767,Rupert Grint,Ron Weasley
767,Emma Watson,Hermione Granger
767,Tom Felton,Draco Malfoy
767,Michael Gambon,Albus Dumbledore
209112,Ben Affleck,Bruce Wayne / Batman
209112,Henry Cavill,Clark Kent / Superman
209112,Gal Gadot,Diana Prince / Wonder Woman
209112,Amy Adams,Lois Lane
209112,Jesse Eisenberg,Lex Luthor
1452,Brandon Routh,Superman / Clark Kent
1452,Kevin Spacey,Lex Luthor
1452,Kate Bosworth,Lois Lane
1452,James Marsden,Richard White
1452,Parker Posey,Kitty Kowalski
10764,Daniel Craig,James Bond
10764,Olga Kurylenko,Camille Montes
10764,Mathieu Amalric,Dominic Greene
10764,Judi Dench,M
10764,Giancarlo Giannini,René Mathis
58,Johnny Depp,Captain Jack Sparrow
58,Orlando Bloom,Will Turner
58,Keira Knightley,Elizabeth Swann
58,Stellan Skarsgård,"William ""Bootstrap Bill"" Turner"
58,Bill Nighy,Captain Davy Jones
57201,Johnny Depp,Tonto
57201,Armie Hammer,John Reid / The Lone Ranger
57201,William Fichtner,Butch Cavendish
57201,Helena Bonham Carter,Red Harrington
57201,James Badge Dale,Dan Reid
49521,Henry Cavill,Clark Kent / Kal-El
49521,Amy Adams,Lois Lane
49521,Michael Shannon,General Zod
49521,Kevin Costner,Jonathan Kent
49521,Diane Lane,Martha Kent
2454,Ben Barnes,Prince Caspian
2454,William Moseley,Peter Pevensie
2454,Anna Popplewell,Susan Pevensie
2454,Skandar Keynes,Edmund Pevensie
2454,Georgie Henley,Lucy Pevensie
24428,Robert Downey Jr.,Tony Stark / Iron Man
24428,Chris Evans,Steve Rogers / Captain America
24428,Mark Ruffalo,Bruce Banner / The Hulk
24428,Chris Hemsworth,Thor Odinson
24428,Scarlett Johansson,Natasha Romanoff / Black Widow
1865,Johnny Depp,Captain Jack Sparrow
1865,Penélope Cruz,Angelica Teach
1865,Ian McShane,"Captain Edward ""Blackbeard"" Teach"
1865,Kevin McNally,Joshamee Gibbs
1865,Geoffrey Rush,Captain Hector Barbossa
41154,Will Smith,Agent J
41154,Tommy Lee Jones,Agent K
41154,Josh Brolin,Young Agent K
41154,Michael Stuhlbarg,Griffin
41154,Emma Thompson,Agent O
122917,Martin Freeman,Bilbo Baggins
122917,Ian McKellen,Gandalf
122917,Richard Armitage,Thorin Oakenshield
122917,Ken Stott,Balin
122917,Graham McTavish,Dwalin
1930,Andrew Garfield,Peter Parker / Spider-Man
1930,Emma Stone,Gwen Stacy
1930,Rhys Ifans,Dr. Curt Connors / The Lizard
1930,Denis Leary,Captain Stacy
1930,Campbell Scott,Richard Parker
20662,Russell Crowe,Robin Longstride
20662,Cate Blanchett,Marion Loxley
20662,Max von Sydow,Sir Walter Loxley
20662,William Hurt,William Marshal
20662,Mark Strong,Godfrey
57158,Martin Freeman,Bilbo Baggins
57158,Ian McKellen,Gandalf
57158,Richard Armitage,Thorin Oakenshield
57158,Ken Stott,Balin
57158,Graham McTavish,Dwalin
2268,Dakota Blue Richards,Lyra Belacqua
2268,Nicole Kidman,Marisa Coulter
2268,Daniel Craig,Lord Asriel
2268,Sam Elliott,Lee Scoresby
2268,Eva Green,Serafina Pekkala
254,Naomi Watts,Ann Darrow
254,Jack Black,Carl Denham
254,Adrien Brody,Jack Driscoll
254,Thomas Kretschmann,Captain Englehorn
254,Colin Hanks,Preston
597,Kate Winslet,Rose DeWitt Bukater
597,Leonardo DiCaprio,Jack Dawson
597,Frances Fisher,Ruth Dewitt Bukater
597,Billy Zane,Caledon 'Cal' Hockley
597,Kathy Bates,Molly Brown
271110,Chris Evans,Steve Rogers / Captain America
271110,Robert Downey Jr.,Tony Stark / Iron Man
271110,Scarlett Johansson,Natasha Romanoff / Black Widow
271110,Sebastian Stan,Bucky Barnes / Winter Soldier
271110,Anthony Mackie,Sam Wilson / Falcon
44833,Taylor Kitsch,Lieutenant Alex Hopper
44833,Alexander Skarsgård,Commander Stone Hopper
44833,Rihanna,Petty Officer Cora 'Weps' Raikes
44833,Brooklyn Decker,Sam
44833,Tadanobu Asano,Captain Yugi Nagata
135397,Chris Pratt,Owen Grady
135397,Bryce Dallas Howard,Claire Dearing
135397,Irrfan Khan,Simon Masrani
135397,Vincent D'Onofrio,Vic Hoskins
135397,Nick Robinson,Zach Mitchell
37724,Daniel Craig,James Bond
